IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,0,7.61
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,0,7.38
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,0,7.29
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,0,7.25
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,1,7.15
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,0,6.97
47.237.81.112,2083,2083,true,SIN,Asia Pacific,Singapore,0,6.05
47.236.102.102,2083,2083,true,SIN,Asia Pacific,Singapore,0,5.12
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,0,4.70
47.237.11.182,2083,2083,true,SIN,Asia Pacific,Singapore,0,4.69
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,0,4.27
8.219.4.122,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.08
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.04
8.219.77.222,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.03
47.236.97.90,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.03
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.02
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.02
47.237.0.31,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.02
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.01
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,0,1.00
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.99
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.99
47.236.144.196,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.98
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.98
8.222.136.247,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.98
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.63
47.236.172.95,2083,2083,true,SIN,Asia Pacific,Singapore,0,0.53
